category,model,image_AUROC,pixel_AUROC,F1_Score,train_time_sec,inference_time_sec,inference_fps,peak_gpu_memory_mb,peak_cpu_memory_mb,num_test_images
capsule,dinomaly,0.759473443031311,0.9638533592224121,0.9385964870452881,47.47719397209585,19.87376559060067,6.6419219547617905,3355.57080078125,3819.23046875,132
capsule,vlmad,,,0.637837827205658,0.008401949889957905,152.80509738717228,0.8638455277806797,278.00439453125,3256.8125,132
capsule,winclip,0.6473873853683472,0.8150254487991333,0.0181818176060915,4.782127404585481,29.22883260808885,4.516088677570723,2052.6005859375,3377.2578125,132
capsule,draem,0.571599543094635,0.8922896385192871,0.9037656784057617,173.13727619312704,18.46485468558967,7.148715884724257,3690.37890625,3645.53515625,132
capsule,efficientad,0.5943358540534973,0.9280213117599487,0.9045643210411072,118.44018171261996,15.131071635521948,8.723770740078626,1206.349609375,3293.48046875,132
carpet,patchcore,0.9871587753295898,0.9907271862030029,0.9830508232116699,74.92748783994466,11.21712003275752,10.430484799870483,4278.35693359375,3293.1171875,117
carpet,fastflow,0.9879615306854248,0.9851969480514526,0.977011501789093,12.811581960879266,9.683941473253071,12.081857405184921,2786.25146484375,3293.34765625,117
carpet,dinomaly,0.9987961649894714,0.9939029216766357,0.9886363744735718,53.74783397465944,14.504791352897882,8.066300104111791,3355.57080078125,3828.140625,117
carpet,vlmad,,,0.6838709712028503,0.008340885862708092,115.17083042021841,1.0158822296679426,288.00439453125,3257.34765625,117
carpet,winclip,0.993178129196167,0.9105203151702881,0.49152541160583496,4.8152403105050325,22.674518652260303,5.159977232343007,2052.6005859375,3377.70703125,117
carpet,draem,0.5425360798835754,0.8191919326782227,0.8585366010665894,201.41125930193812,12.898323104716837,9.070946591283159,3690.37890625,3648.19140625,117
carpet,efficientad,0.9931781888008118,0.967117190361023,0.9887640476226807,145.1648833565414,10.294293435290456,11.365520201600782,1201.3486328125,3305.40625,117
grid,patchcore,0.9874686598777771,0.982446551322937,0.9655172228813171,60.42594288755208,7.03416355792433,11.088738463030074,4054.14404296875,3304.8671875,78
grid,fastflow,0.6332497596740723,0.7806850671768188,0.8358209133148193,9.66934567131102,5.898517825640738,13.223660978175834,2786.25146484375,3305.453125,78
grid,dinomaly,0.9983291625976562,0.9939683675765991,0.9821428656578064,49.400652387179434,8.967280397191644,8.69828939713181,3355.57080078125,3829.41015625,78
grid,vlmad,,,0.6078431606292725,0.008379676379263401,74.84160736761987,1.0422010261867598,288.00439453125,3257.95703125,78
grid,winclip,0.9891395568847656,0.8094955086708069,0.13114753365516663,4.7433259496465325,14.656143289990723,5.322000369174159,2052.6005859375,3378.2890625,78
grid,draem,0.79365074634552,0.682168185710907,0.8870967626571655,185.8972673919052,7.670048006810248,10.16942787460309,3690.0859375,3651.9375,78
grid,efficientad,0.9866332411766052,0.9116493463516235,0.991150438785553,116.63333651982248,6.275503152050078,12.429282259944209,1186.345703125,3258.89453125,78
hazelnut,patchcore,1.0,0.9882583022117615,1.0,130.74138436838984,13.371241621673107,8.226610745086214,5831.345703125,3258.38671875,110
hazelnut,fastflow,0.807857096195221,0.9358149766921997,0.8571428656578064,13.468478103168309,11.725751752965152,9.381061642566646,2786.25146484375,3258.99609375,110
hazelnut,dinomaly,1.0,0.9922198057174683,1.0,65.68316717632115,15.998960429802537,6.87544671934398,3355.57080078125,3832.44140625,110
hazelnut,vlmad,,,0.6187050342559814,0.008932436816394329,105.90935489814728,1.0386240205672737,288.00439453125,3258.62109375,110
hazelnut,winclip,0.8735714554786682,0.9670490622520447,0.5416666865348816,4.780715940520167,23.313207525759935,4.718355459172894,2052.6005859375,3379.32421875,110
hazelnut,draem,0.9114285707473755,0.9375954866409302,0.8970588445663452,265.41511164512485,14.434695245698094,7.620528049096346,3690.37890625,3654.3046875,110
hazelnut,efficientad,0.8082143664360046,0.7257067561149597,0.8280254602432251,193.95634425245225,11.810033615678549,9.314114047395107,1202.08056640625,3310.90625,110
leather,patchcore,1.0,0.9922410249710083,0.994535505771637,54.78351181373,12.392392461188138,10.006138878215557,3789.21826171875,3310.50390625,124
leather,fastflow,0.9972825646400452,0.9935607314109802,0.9836065769195557,12.085980301722884,10.887276688590646,11.389441413750987,2786.25146484375,3311.0234375,124
leather,dinomaly,1.0,0.9931948184967041,0.994535505771637,50.226866255514324,15.441384627483785,8.030367936000706,3355.57080078125,3834.91796875,124
leather,vlmad,,,0.6432748436927795,0.008595447987318039,126.30419617705047,0.9817567725634349,288.00439453125,3259.234375,124
leather,winclip,1.0,0.9560622572898865,0.5511810779571533,4.75400379858911,24.559812624007463,5.048898454493449,2052.6005859375,3379.921875,124
